Study ID,first author,study design,publication date,primary series vaccine,booster vaccine,historyofCOVID ,reference group,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up
7,Andrews,Test-negative case-control,17Dec2021,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,complete vaccination with 2 doses ≥140 days prior,14+,symptomatic disease,symptomatic,England,50+ years,≥ 50 years,89.1,88.3,89.9,,delta,~7.5 weeks
7,Andrews,Test-negative case-control,17Dec2021,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,symptomatic disease,symptomatic,England,50+ years,≥ 50 years,93.8,93.3,94.3,,delta,~7.5 weeks
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,18+ years,general pop,62.7,62.0,63.4,omicron,omicron,~14 weeks
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,10+ weeks,symptomatic disease,symptomatic,England,18+ years,general pop,44.1,42.2,45.9,omicron,omicron,~14 weeks
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,18+ years,general pop,95.4,95.2,95.7,delta,delta,~14 weeks
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,10+ weeks,symptomatic disease,symptomatic,England,18+ years,general pop,88.5,87.0,89.7,delta,delta,~14 weeks
12,Berec,Retrospective cohort,12Dec2021,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,complete vaccination with 2 doses ≥6-8 months prior,7+,infection,infection,Czech Republic,18+ years,general pop,82.0,68.0,90.0,,delta,~8 weeks
28,Spensley,Prospective cohort,26Jan2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,infection,infection,UK,end stage kidney disease patients,end stage kidney disease patients,47.0,2.0,70.0,omicron,omicron,~15 weeks
49,Baum,Retrospective cohort,06Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14-60,hospitalization,severe,Finland,70+ years,≥ 70 years,98.0,91.0,99.0,,"non-VOC, alpha, delta, & omicron",~20.5 weeks
49,Baum,Retrospective cohort,06Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),excluded,unvaccinated individuals,61+,hospitalization,severe,Finland,70+ years,≥ 70 years,88.0,78.0,93.0,,"non-VOC, alpha, delta, & omicron",~20.5 weeks
49,Baum,Retrospective cohort,06Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),excluded,unvaccinated individuals,61+,ICU admission,severe,Finland,70+ years,≥ 70 years,96.0,71.0,99.0,,"non-VOC, alpha, delta, & omicron",~20.5 weeks
49,Baum,Retrospective cohort,06Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14-60,hospitalization,severe,Finland,70+ years,≥ 70 years,84.0,-16.0,98.0,,delta,~13 weeks
49,Baum,Retrospective cohort,06Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14-60,hospitalization,severe,Finland,70+ years,≥ 70 years,99.0,91.0,100.0,,omicron,~20.5 weeks
49,Baum,Retrospective cohort,06Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),excluded,unvaccinated individuals,61+,hospitalization,severe,Finland,70+ years,≥ 70 years,86.0,75.0,92.0,,omicron,~20.5 weeks
53,Stowe,Test-negative case-control,24Mar2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,7-13,hospitalization,severe,UK,18-64 years,18-64 years,83.0,78.0,85.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,105+,hospitalization,severe,UK,18-64 years,18-64 years,39.0,18.0,58.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,14-28,ICU admission,severe,UK,18-64 years,18-64 years,98.0,90.0,99.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,70-98,ICU admission,severe,UK,18-64 years,18-64 years,90.0,77.0,98.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,7-13,hospitalization,severe,UK,65+ years,≥ 65 years,96.0,78.0,98.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,105+,hospitalization,severe,UK,65+ years,≥ 65 years,82.0,77.0,84.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,7-13,ICU admission,severe,UK,65+ years,≥ 65 years,97.0,36.0,100.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,105+,ICU admission,severe,UK,65+ years,≥ 65 years,92.0,82.0,96.0,,omicron,~22 weeks
72,Vokó,Retrospective cohort,22Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,14-120,infection,infection,Hungary,18-64 years,18-64 years,82.9,81.9,83.8,,delta,~20 weeks
72,Vokó,Retrospective cohort,22Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,14-120,hospitalization,severe,Hungary,18-64 years,18-64 years,95.1,93.8,96.2,,delta,~20 weeks
72,Vokó,Retrospective cohort,22Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,14-120,death,death,Hungary,18-64 years,18-64 years,98.4,96.5,99.3,,delta,~20 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,Brazil,18+ years,general pop,42.8,42.1,43.5,,omicron,2 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,13+ weeks,symptomatic disease,symptomatic,Brazil,18+ years,general pop,4.9,2.7,7.0,,omicron,~21 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,severe disease,severe,Brazil,18+ years,general pop,89.9,88.9,90.7,,omicron,2 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,13+ weeks,severe disease,severe,Brazil,18+ years,general pop,80.2,77.9,82.2,,omicron,~21 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,Scotland,18+ years,general pop,49.0,45.3,52.4,,omicron,2 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,13+ weeks,symptomatic disease,symptomatic,Scotland,18+ years,general pop,18.2,7.2,28.0,,omicron,~22 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,severe disease,severe,Scotland,18+ years,general pop,81.8,55.0,92.6,,omicron,2 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,13+ weeks,severe disease,severe,Scotland,18+ years,general pop,93.4,69.6,98.6,,omicron,~22 weeks
80,Kirsebom,Test-negative case-control,01May2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,14-34,symptomatic disease,symptomatic,UK,40-64 years,40-64 years,63.8,63.0,64.5,omicron,omicron,~3 weeks
80,Kirsebom,Test-negative case-control,01May2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,105+,symptomatic disease,symptomatic,UK,40-64 years,40-64 years,30.6,26.8,34.3,omicron,omicron,~20 weeks
80,Kirsebom,Test-negative case-control,01May2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,14-34,symptomatic disease,symptomatic,UK,65+ years,≥ 65 years,58.1,51.6,63.8,omicron,omicron,~3 weeks
80,Kirsebom,Test-negative case-control,01May2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,105+,symptomatic disease,symptomatic,UK,65+ years,≥ 65 years,23.1,15.1,30.5,omicron,omicron,~20 weeks
80,Kirsebom,Test-negative case-control,01May2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,7+,hospitalization,severe,UK,65+ years,≥ 65 years,90.9,88.7,92.7,omicron,omicron,~20 weeks
80,Kirsebom,Test-negative case-control,01May2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,7+,hospitalization,severe,UK,65+ years,≥ 65 years,93.9,92.8,94.9,delta,delta,~15 weeks
89,Marra,Retrospective cohort,27May2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of AZD1222,14+,infection,infection,Brazil,HCW,HCW,60.5,44.9,72.4,,delta,~11 weeks
91,Hulme,Retrospective cohort,06Jun2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,complete vaccination with 2 doses of AZD1222 or BNT162b2,1-28,infection,infection,UK,18+ years,general pop,49.2,48.4,50.0,,delta,~11 weeks
91,Hulme,Retrospective cohort,06Jun2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,complete vaccination with 2 doses of AZD1222 or BNT162b2,29-70,infection,infection,UK,18+ years,general pop,54.8,53.3,56.3,,delta,~11 weeks
91,Hulme,Retrospective cohort,06Jun2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,complete vaccination with 2 doses of AZD1222 or BNT162b2,1-28,hospitalization,severe,UK,18+ years,general pop,78.2,75.2,80.8,,delta,~11 weeks
91,Hulme,Retrospective cohort,06Jun2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,complete vaccination with 2 doses of AZD1222 or BNT162b2,29-70,hospitalization,severe,UK,18+ years,general pop,83.9,80.0,87.1,,delta,~11 weeks
91,Hulme,Retrospective cohort,06Jun2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,complete vaccination with 2 doses of AZD1222 or BNT162b2,1-28,death,death,UK,18+ years,general pop,77.4,66.3,84.9,,delta,~11 weeks
91,Hulme,Retrospective cohort,06Jun2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,complete vaccination with 2 doses of AZD1222 or BNT162b2,29-70,death,death,UK,18+ years,general pop,93.5,87.6,96.6,,delta,~11 weeks
103,Lee,Test-negative case-control,12Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated,84+,infection,infection,UK,cancer patients aged 18+,immunocompromised,58.3,57.7,58.9,,delta,~12 weeks
103,Lee,Test-negative case-control,12Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated,84+,symptomatic disease,symptomatic,UK,cancer patients aged 18+,immunocompromised,63.2,62.6,63.8,,delta,~12 weeks
103,Lee,Test-negative case-control,12Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated,84+,hospitalization,severe,UK,cancer patients aged 18+,immunocompromised,79.2,73.9,83.4,,delta,~12 weeks
103,Lee,Test-negative case-control,12Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated,84+,death,death,UK,cancer patients aged 18+,immunocompromised,94.3,91.9,96.0,,delta,~12 weeks
123,Kim,Matched case-control,29Aug2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of AZD1222,14+,infection,infection,South Korea,HCW,HCW,48.3,30.0,72.5,,omicron,~15 weeks
1,Bar-On,Retrospective cohort,07Oct2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,18+ years,general pop,92.0,90.0,93.0,,delta,3 weeks
1,Bar-On,Retrospective cohort,07Oct2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,12+,severe disease,severe,Israel,18+ years,general pop,94.0,91.0,96.0,,delta,3 weeks
2,Patalon,Test-negative case-control,30Nov2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,14-20,infection,infection,Israel,40+ years,40+ years,85.0,83.0,86.0,,delta,~7 weeks
2,Patalon,Test-negative case-control,30Nov2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,28-65,infection,infection,Israel,40+ years,40+ years,86.0,85.0,87.0,,delta,~7 weeks
2,Patalon,Matched case-control,30Nov2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,14-20,infection,infection,Israel,40+ years,40+ years,87.0,85.0,87.0,,delta,~7 weeks
2,Patalon,Matched case-control,30Nov2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,28-65,infection,infection,Israel,40+ years,40+ years,83.0,82.0,85.0,,delta,~7 weeks
2,Patalon,Matched case-control,30Nov2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,14-20,hospitalization,severe,Israel,40+ years,40+ years,92.0,87.0,95.0,,delta,~7 weeks
2,Patalon,Matched case-control,30Nov2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,28-65,hospitalization,severe,Israel,40+ years,40+ years,97.0,95.0,98.0,,delta,~7 weeks
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,16-29 years,16-29 years,94.2,93.6,94.9,,delta,~3.5 weeks
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,30-39 years,30-39 years,88.6,87.8,89.5,,delta,~4.5 weeks
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,40-49 years,40-49 years,89.7,89.1,90.4,,delta,5 weeks
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,50-59 years,50-59 years,91.8,91.2,92.4,,delta,6 weeks
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,60+ years,60+ years,91.9,91.6,92.2,,delta,8 weeks
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,12+,severe disease,severe,Israel,40-59 years,40-59 years,95.4,90.6,97.8,,delta,6 weeks
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,12+,severe disease,severe,Israel,60+ years,60+ years,94.5,93.4,95.3,,delta,8 weeks
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,12+,death,death,Israel,60+ years,60+ years,93.2,89.4,95.7,,delta,8 weeks
5,Saciuk,Retrospective cohort,02Nov2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses,7+,infection,infection,Israel,18+ years,general pop,89.1,87.5,90.5,,delta,10 weeks
6,Barda,Retrospective cohort,29Oct2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,7+,infection,infection,Israel,18+ years,general pop,88.0,87.0,90.0,,delta,~7 weeks
6,Barda,Retrospective cohort,29Oct2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,7+,symptomatic disease,symptomatic,Israel,18+ years,general pop,91.0,89.0,92.0,,delta,~7 weeks
6,Barda,Retrospective cohort,29Oct2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,7+,hospitalization,severe,Israel,18+ years,general pop,93.0,88.0,97.0,,delta,~7 weeks
6,Barda,Retrospective cohort,29Oct2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,7+,severe disease,severe,Israel,18+ years,general pop,92.0,82.0,97.0,,delta,~7 weeks
6,Barda,Retrospective cohort,29Oct2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,7+,death,death,Israel,18+ years,general pop,81.0,59.0,97.0,,delta,~7 weeks
7,Andrews,Test-negative case-control,17Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,complete vaccination with 2 doses ≥140 days prior,14+,symptomatic disease,symptomatic,England,50+ years,≥ 50 years,84.5,83.7,85.3,,delta,~7.5 weeks
7,Andrews,Test-negative case-control,17Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,symptomatic disease,symptomatic,England,50+ years,≥ 50 years,94.3,93.9,94.6,,delta,~7.5 weeks
8,Sharma,Matched retrospective cohort,30Nov2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,complete vaccination with 2 doses ≥180 days prior,0+,infection,infection,USA,veterans,veterans,45.7,37.9,52.5,,delta,~7 weeks
8,Sharma,Matched retrospective cohort,30Nov2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,complete vaccination with 2 doses ≥180 days prior,0+,hospitalization,severe,USA,veterans,veterans,44.8,26.6,58.4,,delta,~7 weeks
9,Goldberg,Retrospective cohort,05Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,12+,infection,infection,Israel,16-39 years,16-39 years,91.0,90.1,91.3,,delta,~8 weeks
9,Goldberg,Retrospective cohort,05Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,12+,infection,infection,Israel,40-59 years,40-59 years,89.0,88.3,89.3,,delta,~8 weeks
9,Goldberg,Retrospective cohort,05Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,12+,infection,infection,Israel,60+ years,≥ 60 years,82.2,81.5,82.8,,delta,~8 weeks
10,Arbel,Prospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,14+,death,death,Israel,18+ years,general pop,33.0,26.0,40.0,,delta,~8 weeks
10,Arbel,Prospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,54+,death,death,Israel,18+ years,general pop,91.0,87.0,93.0,,delta,~8 weeks
10,Arbel,Prospective cohort,08Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,54+,infection,infection,Israel,18+ years,general pop,83.0,82.0,94.0,,delta,~8 weeks
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,18+ years,general pop,68.7,67.9,69.5,omicron,omicron,~14 weeks
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,10+ weeks,symptomatic disease,symptomatic,England,18+ years,general pop,50.1,49.0,51.2,omicron,omicron,~14 weeks
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,18+ years,general pop,95.2,94.9,95.5,delta,delta,~14 weeks
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,10+ weeks,symptomatic disease,symptomatic,England,18+ years,general pop,90.2,89.6,90.8,delta,delta,~14 weeks
12,Berec,Retrospective cohort,12Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,complete vaccination with 2 doses ≥6-8 months prior,7+,infection,infection,Czech Republic,18+ years,general pop,92.0,91.0,92.0,,delta,~8 weeks
13,Tartof,Retrospective matched cohort,14Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,infection,infection,USA,18+ years,general pop,88.0,86.0,89.0,delta,delta,~12 weeks
13,Tartof,Retrospective matched cohort,14Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,hospitalization,severe,USA,18+ years,general pop,97.0,95.0,98.0,delta,delta,~12 weeks
13,Tartof,Retrospective matched cohort,14Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,complete vaccination with 2 doses ≥6 months prior,14+,infection,infection,USA,18+ years,general pop,75.0,71.0,78.0,delta,delta,~12 weeks
13,Tartof,Retrospective matched cohort,14Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,complete vaccination with 2 doses ≥6 months prior,14+,hospitalization,severe,USA,18+ years,general pop,70.0,48.0,83.0,delta,delta,~12 weeks
14,Hansen,Retrospective cohort,23Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses in 60+ year olds,1-30,infection,infection,Denmark,60+ years,≥ 60 years,54.6,30.4,70.4,omicron,omicron,~4 weeks
14,Hansen,Retrospective cohort,23Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses in 60+ year olds,1-30,infection,infection,Denmark,60+ years,≥ 60 years,81.2,79.2,82.9,delta,delta,~4 weeks
15,Amir,Quasi-experimental,21Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,"complete vaccination with 2 doses <60 days prior, 12-14 years of age",14+,infection,infection,Israel,16-18 years,16-18 years,73.4,67.1,78.9,,delta,~4 weeks
15,Amir,Quasi-experimental,21Dec2021,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals aged 16-18 years,14+,infection,infection,Israel,16-18 years,16-18 years,96.2,94.8,97.2,,delta,~4 weeks
16,Lustig,Prospective cohort,09May2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,10+,infection,infection,Israel,HCW,HCW,85.6,79.2,90.1,,delta,~7 weeks
19,Tan,Retrospective cohort,11Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,infection,infection,Singapore,60+ years,≥ 60 years,73.0,71.0,74.0,,delta,~6 weeks
19,Tan,Retrospective cohort,11Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,symptomatic disease,symptomatic,Singapore,60+ years,≥ 60 years,72.0,71.0,74.0,,delta,~6 weeks
19,Tan,Retrospective cohort,11Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer),12+,severe disease,severe,Singapore,60+ years,≥ 60 years,95.0,92.0,97.0,,delta,~6 weeks
21,Spitzer,Prospective cohort,10Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥1 month prior,7+,infection,infection,Israel,HCW,HCW,93.0,80.0,98.0,,delta,~4 weeks
21,Spitzer,Prospective cohort,10Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥1 month prior,7+,symptomatic disease,symptomatic,Israel,HCW,HCW,93.0,75.0,98.0,,delta,~4 weeks
21,Spitzer,Prospective cohort,10Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥1 month prior,7+,asymptomatic infection,asymptomatic,Israel,HCW,HCW,92.0,52.0,99.0,,delta,~4 weeks
22,Waxman,Retrospective cohort,22Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥5 months prior,7+,hospitalization,severe,Israel,16+ years,general pop,89.0,87.0,91.0,,delta,~15.5 weeks
25,Tartof,Test-negative case-control,22Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,ED visit,symptomatic,USA,hospital admissions,general pop,75.0,70.0,79.0,omicron,omicron,~23 weeks
25,Tartof,Test-negative case-control,22Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14 to <3 m,ED visit,symptomatic,USA,hospital admissions,general pop,77.0,72.0,81.0,omicron,omicron,~23 weeks
