,Added_When,Vaccine,Dose,Days_after,Variant,Age,Efficacy_Definition,Country,Efficacy,LCL,UCL,Comment.source,Ref,Design,Study,Prior_Covid
1,1,Vaxzevria,1,28,B.1.617.2,all,SYM,Scotland,33,23,41,Scotland paper,Sheikh2021,,9,
2,1,Vaxzevria,1,28,B.1.1.7,all,SYM,Scotland,39,32,45,Scotland paper,Sheikh2021,,9,
3,1,Vaxzevria,1,21,B.1.617.2,all,SYM,England,30,24.3,35.3,PHE England Paper,Bernal2021a,,2,0
4,1,Vaxzevria,1,21,B.1.1.7,all,SYM,England,48.7,45.2,51.9,PHE England Paper,Bernal2021a,,2,0
5,1,Vaxzevria,1,14,B.1.1.7,all,SYM,Canada,64,60,68,Canada,Nasreen2021,,5,0
6,1,Vaxzevria,1,14,B.1.617.2,all,SYM,Canada,67,44,80,Canada,Nasreen2021,,5,0
7,1,Vaxzevria,1,14,D614G,all,SYM,Canada,67,38,82,Canada,Nasreen2021,,5,0
9,1,Vaxzevria,1,21,B.1.617.2,all,SYM,England_August,40,28,50,Self Reported ONS,Pouwels2021,,7,1
10,1,Vaxzevria,2,14,B.1.617.2,all,SYM,Scotland,61,51,70,Scotland paper,Sheikh2021,,9,
11,1,Vaxzevria,2,14,B.1.1.7,all,SYM,Scotland,81,72,87,Scotland paper,Sheikh2021,,9,
12,1,Vaxzevria,2,14,B.1.617.2,all,SYM,England,67,61.2,71.8,PHE England Paper,Bernal2021a,,2,0
13,1,Vaxzevria,2,14,B.1.1.7,all,SYM,England,74.5,68.4,79.4,PHE England Paper,Bernal2021a,,2,0
14,1,Vaxzevria,2,14,B.1.1.7,all,SYM,AZ Trial,70.4,43.6,84.5,Az Trial eda,Emary2021,,3,0
15,1,Vaxzevria,2,14,D614G,all,SYM,AZ Trial,81.5,67.9,89.4,Az Trial eda,Emary2021,,3,0
17,1,Vaxzevria,2,14,B.1.617.2,all,SYM,England_August,71,66,74,Self Reported ONS,Pouwels2021,,7,1
18,2,Vaxzevria,1,21,B.1.1.7,all,SYM,UK,71,62,78,Pritchard,Pritchard2021,,8,0
19,2,Vaxzevria,2,21,B.1.1.7,all,SYM,UK,92,78,97,Pritchard,Pritchard2021,,8,0
20,2,Vaxzevria,1,,B.1.1.7,all,SYM,Spain,50,37,61,Martinez-Baz jan/ap 18-59yo,MartinezBaz2021a,Prospective Cohort,4,0
21,2,Vaxzevria,1,,B.1.617.2,all,SYM,Spain,46,37,54,Martinez-Baz 2 ap/aug,MartinezBaz2021b,Prospective Cohort,4,0
22,2,Vaxzevria,2,,B.1.617.2,all,SYM,Spain,56,48,63,Martinez-Baz 2 ap/aug,MartinezBaz2021b,Prospective Cohort,4,0
18,2,Vaxzevria,1,21,B.1.1.7,all,SYM,UK,45.1,43.4,46.7,Andrews,Andrews2022,,1,0
19,2,Vaxzevria,2,21,B.1.1.7,all,SYM,UK,82.1,79.4,84.5,Andrews,Andrews2022,,1,0
18,2,Vaxzevria,1,28,B.1.617.2,all,SYM,UK,46.6,45.8,47.5,Andrews,Andrews2022,,1,0
19,2,Vaxzevria,2,14,B.1.617.2,all,SYM,UK,64.2,63.9,64.5,Andrews,Andrews2022,,1,0
23,2,Vaxzevria,2,,B.1.617.2,all,SYM,Sweden,50,41,58,Nordstrom1,Nordstrom2021,Retrospective Cohort,6,0